ProjectName,PackageName,Gemini_Detected,Reference_Exists,Match_Result
DummyAuditTarget,Newtonsoft.Json,false,true,False Negative
DummyAuditTarget,Serilog,false,false,True Negative
DummyAuditTarget,Dapper,false,false,True Negative
DummyAuditTarget,AdvancedAgilityPack,false,false,True Negative
DummyAuditTarget,Azure.Identity,true,true,True Positive
DummyAuditTarget,Binus.WS.Pattern,false,false,True Negative
DummyAuditTarget,Binus.WS.Pattern.AzureStorage,false,false,True Negative
DummyAuditTarget,Binus.WS.Pattern.MessageQueue,false,false,True Negative
DummyAuditTarget,BuildBundlerMinifier,false,false,True Negative
DummyAuditTarget,ClosedXML,false,false,True Negative
DummyAuditTarget,FastReport.OpenSource,false,true,False Negative
DummyAuditTarget,FastReport.OpenSource.Export.PdfSimple,false,false,True Negative
DummyAuditTarget,FastReport.OpenSource.Web,false,false,True Negative
DummyAuditTarget,itext7,false,false,True Negative
DummyAuditTarget,Microsoft.ApplicationInsights.AspNetCore,false,false,True Negative
DummyAuditTarget,Microsoft.AspNet.Mvc,false,false,True Negative
DummyAuditTarget,Microsoft.AspNetCore.Authentication.OpenIdConnect,false,false,True Negative
DummyAuditTarget,Microsoft.AspNetCore.Http,false,true,False Negative
DummyAuditTarget,Microsoft.AspNetCore.Mvc.Core,false,true,False Negative
DummyAuditTarget,Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation,false,false,True Negative
DummyAuditTarget,Microsoft.EntityFrameworkCore,false,false,True Negative
DummyAuditTarget,Microsoft.EntityFrameworkCore.Design,false,false,True Negative
DummyAuditTarget,Microsoft.EntityFrameworkCore.SqlServer,false,false,True Negative
DummyAuditTarget,Microsoft.Extensions.Caching.StackExchangeRedis,false,false,True Negative
DummyAuditTarget,Microsoft.Identity.Web,false,true,False Negative
DummyAuditTarget,Microsoft.VisualStudio.Web.CodeGeneration.Design,false,false,True Negative
DummyAuditTarget,MimeTypeMapOfficial,false,false,True Negative
DummyAuditTarget,Nancy,false,true,False Negative
DummyAuditTarget,NetCoreAutoLinkDropdown,false,false,True Negative
DummyAuditTarget,Newtonsoft.Json,false,true,False Negative
DummyAuditTarget,PdfSharpCore,false,false,True Negative
DummyAuditTarget,SixLabors.ImageSharp,true,true,True Positive
DummyAuditTarget,starkbank-ecdsa,false,true,False Negative
DummyAuditTarget,Microsoft.Data.SqlClient,false,true,False Negative
DummyAuditTarget,System.Data.SqlClient,false,true,False Negative
DummyAuditTarget,System.Drawing.Common,false,true,False Negative
DummyAuditTarget,System.Globalization.Calendars,false,false,True Negative
DummyAuditTarget,System.Private.ServiceModel,false,true,False Negative
DummyAuditTarget,System.Security.Cryptography.Xml,true,true,True Positive
DummyAuditTarget,System.ServiceModel.Duplex,true,true,True Positive
DummyAuditTarget,System.ServiceModel.Http,true,true,True Positive
DummyAuditTarget,System.ServiceModel.NetTcp,true,true,True Positive
DummyAuditTarget,System.ServiceModel.Security,true,true,True Positive
DummyAuditTarget,System.Text.Encodings.Web,false,true,False Negative
